,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
23,AbstractFileRepository.list,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
24,MimeMessageWrapper.getNonMatchingHeaderLines,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
25,MimeMessageWrapper.getContentLanguage,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
26,MimeMessageWrapper.setContentLanguage,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
27,MBoxMailRepository.generateKeyValue,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
28,DNSServer.processSetResponse,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
29,PoolConnEntry.getLockTime,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
30,MimeMessageJDBCSource.getSourceId,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
31,MimeMessageWrapper.getFlags,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
32,MimeMessageWrapper.getInputStream,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
33,MimeMessageWrapper.setReplyTo,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
34,MimeMessageWrapper.isMimeType,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
35,NNTPGroupImpl.getArticles,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
36,MimeMessageWrapper.setFileName,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
37,MimeMessageWrapper.setHeader,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
38,MimeMessageWrapper.addFrom,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
39,MessageProcessor.computeRemoteDomain,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
40,MimeMessageWrapper.getAllHeaders,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
41,MimeMessageWrapper.setContent,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
42,MimeMessageInputStreamSource.getMessageSize,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
43,DigestUtil.digestString,Hashing a password with a weak salt,Low,CoverityScan,NaN,0.0,0.0
44,MimeMessageWrapper.setSubject,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
45,MimeMessageWrapper.setSubject,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
46,MimeMessageWrapper.setContentMD5,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
47,MimeMessageWrapper.getHeader,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
48,MimeMessageWrapper.saveChanges,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
49,MimeMessageWrapper.getAllHeaderLines,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
50,NNTPArticleImpl.writeOverview,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
51,MimeMessageWrapper.getFileName,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
52,AbstractNetworkMatcher.init,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
53,NNTPRepositoryImpl.createArticle,Insecure random value used in security context,Medium,CoverityScan,NaN,0.0,0.0
54,MimeMessageWrapper.setRecipients,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
55,ResettableFileInputStream.reset,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
56,MatchLoader.getMatcher,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
57,MimeMessageWrapper.getRecipients,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
58,MimeMessageWrapper.setFrom,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
59,DigestUtil.digestFile,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
60,MimeMessageWrapper.setDataHandler,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
61,MimeMessageWrapper.setFlags,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
62,MimeMessageWrapper.removeHeader,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
63,James.sendMail,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
64,MimeMessageWrapper.setText,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
65,MimeMessageWrapper.reply,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
66,MimeMessageWrapper.setContentID,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
67,MimeMessageWrapper.getSize,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
68,MimeMessageWrapper.setContent,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
69,MimeMessageWrapper.setDescription,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
70,MimeMessageWrapper.getContent,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
71,MimeMessageWrapper.getEncoding,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
72,NNTPHandler.doNEXT,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
73,Forward.attachError,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
74,MimeMessageWrapper.setFrom,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
75,MimeMessageWrapper.addHeaderLine,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
76,MimeMessageWrapper.setDisposition,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
77,MimeMessageWrapper.setSentDate,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
78,MimeMessageWrapper.getNonMatchingHeaders,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
79,MimeMessageWrapper.getDisposition,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
80,MimeMessageWrapper.addRecipients,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
81,MimeMessageWrapper.getHeader,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
82,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,238.0,238.0
83,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,242.0,242.0
84,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,246.0,246.0
85,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,250.0,250.0
86,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,254.0,254.0
87,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,345.0,345.0
88,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,436.0,436.0
89,SMTPHandler.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,313.0,313.0
90,SMTPHandler.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,217.0,217.0
91,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,370.0,370.0
92,CommandStore.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,106.0,106.0
93,DefaultRecordRepository.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,79.0,79.0
94,DefaultRecordRepository.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,90.0,90.0
95,DefaultRecordRepository.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,141.0,141.0
96,Flags.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,65.0,65.0
97,Flags.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,67.0,67.0
98,Flags.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,69.0,69.0
99,FileMailbox.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,228.0,228.0
100,FileMailbox.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,230.0,230.0
101,FileMailbox.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,232.0,232.0
102,FileMailbox.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,1734.0,1734.0
103,FileMailbox.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,1541.0,1541.0
104,FileMailbox.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,357.0,357.0
105,FileMailbox.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,829.0,829.0
106,JamesHost.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,980.0,980.0
107,JamesHost.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,984.0,984.0
108,JamesHost.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,986.0,986.0
109,JamesHost.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1004.0,1004.0
110,JamesHost.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1008.0,1008.0
111,JamesHost.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1012.0,1012.0
112,JamesHost.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,174.0,174.0
113,JamesHost.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,270.0,270.0
114,BaseCommand.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,51.0,51.0
115,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,209.0,209.0
116,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,253.0,253.0
117,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,301.0,301.0
118,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,349.0,349.0
119,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,416.0,416.0
120,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,574.0,574.0
121,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,608.0,608.0
122,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,658.0,658.0
123,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,660.0,660.0
124,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,708.0,708.0
125,CommandFetch.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,812.0,812.0
126,SingleThreadedConnectionHandler.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,359.0,359.0
127,SingleThreadedConnectionHandler.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,206.0,206.0
128,IMAPServer.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,67.0,67.0
129,MessageHeader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,39.0,39.0
130,SimpleMessageAttributes.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,293.0,293.0
131,SimpleMessageAttributes.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,339.0,339.0
132,SimpleMessageAttributes.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,592.0,592.0
133,SimpleMessageAttributes.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,632.0,632.0
134,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,103.0,103.0
135,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,149.0,149.0
136,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,154.0,154.0
137,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,160.0,160.0
138,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,166.0,166.0
139,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,172.0,172.0
140,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,178.0,178.0
141,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,184.0,184.0
142,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,190.0,190.0
143,AstringArgument.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,40.0,40.0
144,AstringArgument.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,45.0,45.0
145,JamesTask.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,75.0,75.0
146,JamesTask.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,82.0,82.0
147,CommandTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,151.0,151.0
148,CommandTemplate.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,57.0,57.0
149,CommandTemplate.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,156.0,156.0
150,James.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,260.0,260.0
151,AbstractProtocolTest.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,343.0,343.0
152,AbstractProtocolTest.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,345.0,345.0
153,AbstractProtocolTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,387.0,387.0
154,AbstractProtocolTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,550.0,550.0
155,AbstractProtocolTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,565.0,565.0
156,James.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,545.0,545.0
157,AbstractProtocolTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,571.0,571.0
158,James.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,782.0,782.0
159,James.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,172.0,172.0
160,James.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,324.0,324.0
161,James.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,526.0,526.0
162,James.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,616.0,616.0
163,James.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,750.0,750.0
164,James.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,801.0,801.0
165,Assert.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,47.0,47.0
166,TestSelected.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,37.0,37.0
167,TestNonAuthenticated.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,50.0,50.0
168,TestRemoteManager.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,45.0,45.0
169,InitialMail.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,61.0,61.0
170,AvalonUsersStore.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
171,SMTPHandler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,914.0,914.0
172,ImapMailbox.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,66.0,66.0
173,MessageFlags.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,64.0,64.0
174,SimpleMessageAttributes.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,242.0,242.0
175,SimpleMessageAttributes.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,284.0,284.0
176,SimpleMessageAttributes.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,521.0,521.0
177,SMTPHandler.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,700.0,700.0
178,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,131.0,131.0
179,SMTPHandler.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,504.0,504.0
180,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,141.0,141.0
181,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,151.0,151.0
182,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,317.0,317.0
183,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,161.0,161.0
184,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,166.0,166.0
185,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,171.0,171.0
186,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,387.0,387.0
187,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,185.0,185.0
188,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,965.0,965.0
189,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,199.0,199.0
190,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1027.0,1027.0
191,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,215.0,215.0
192,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1111.0,1111.0
193,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,300.0,300.0
194,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1148.0,1148.0
195,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,455.0,455.0
196,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,460.0,460.0
197,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1273.0,1273.0
198,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,473.0,473.0
199,SMTPHandler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1351.0,1351.0
200,SimpleMessageAttributes.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,441.0,441.0
201,SimpleMessageAttributes.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,380.0,380.0
202,SimpleMessageAttributes.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,478.0,478.0
203,FetchPOP.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,136.0,136.0
204,FetchCommand.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,194.0,194.0
205,POP3Handler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,452.0,452.0
206,POP3Handler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,469.0,469.0
207,POP3Handler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,473.0,473.0
208,POP3Handler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,475.0,475.0
209,POP3Handler.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,481.0,481.0
210,FetchCommand.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,165.0,165.0
211,FetchCommand.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,257.0,257.0
212,FetchCommand.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,320.0,320.0
213,FetchCommand.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,375.0,375.0
214,ListCommand.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,121.0,121.0
215,CommandParser.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,383.0,383.0
216,CommandParser.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,210.0,210.0
217,POP3Handler.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,414.0,414.0
218,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,227.0,227.0
219,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,255.0,255.0
220,CommandTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,143.0,143.0
221,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,285.0,285.0
222,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,572.0,572.0
223,SearchCommand.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,64.0,64.0
224,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,649.0,649.0
225,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,669.0,669.0
226,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,715.0,715.0
227,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,731.0,731.0
228,StoreCommand.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,76.0,76.0
229,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,830.0,830.0
230,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,901.0,901.0
231,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,917.0,917.0
232,POP3Handler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,992.0,992.0
233,JamesUsersJdbcRepository.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,143.0,143.0
234,Assert.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,48.0,48.0
235,AbstractUsersRepository.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,148.0,148.0
236,UsersFileRepository.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,170.0,170.0
237,TestOtherCommandsInSelectedState.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,54.0,54.0
238,UsersFileRepository.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,219.0,219.0
239,UsersFileRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,118.0,118.0
240,DefaultUser.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,103.0,103.0
241,ImapHostTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,174.0,174.0
242,TestSelectedCommandsInSelectedState.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,51.0,51.0
243,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,123.0,123.0
244,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,303.0,303.0
245,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,331.0,331.0
246,TestCompound.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,39.0,39.0
247,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,367.0,367.0
248,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,457.0,457.0
249,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,494.0,494.0
250,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,550.0,550.0
251,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,607.0,607.0
252,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,628.0,628.0
253,ImapStoreTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,177.0,177.0
254,ImapStoreTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,221.0,221.0
255,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,653.0,653.0
256,UsersLDAPRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,668.0,668.0
257,TestCommandsInAuthenticatedState.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,58.0,58.0
258,ProtocolSession.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,50.0,50.0
259,ProtocolSession.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,282.0,282.0
260,AbstractProtocolTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,140.0,140.0
261,FileProtocolSessionBuilder.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,108.0,108.0
262,FileProtocolSessionBuilder.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,81.0,81.0
263,TestRemoteManager.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,37.0,37.0
264,AbstractJdbcUsersRepository.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,115.0,115.0
265,MailAddress.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,83.0,83.0
266,MailAddress.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,84.0,84.0
267,MailAddress.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,232.0,232.0
268,MailAddress.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,324.0,324.0
269,MailAddress.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,408.0,408.0
270,XMLResources.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,137.0,137.0
271,XMLResources.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,325.0,325.0
272,XMLResources.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,131.0,131.0
273,GenericMatcher.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,138.0,138.0
274,XMLResources.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,249.0,249.0
275,XMLResources.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,320.0,320.0
276,GenericMailet.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,154.0,154.0
277,NetMatcher.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,35.0,35.0
278,NetMatcher.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,47.0,47.0
279,NetMatcher.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,163.0,163.0
280,NetMatcher.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,209.0,209.0
281,NetMatcher.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,247.0,247.0
282,MailetConfigImpl.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,82.0,82.0
283,CRLFTerminatedReader.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,107.0,107.0
284,CRLFTerminatedReader.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,127.0,127.0
